Contributor	X	Y	Z	n	s	sl
Cubes71	-2038	2036	292	872	1746	1745
Cubes71	-2948	2880	1201	209	1747	1680
Cubes71	6060	-5223	-4310	433	1750	914
Cubes71	8080	-6496	-6328	512	1752	169
Cubes71	-2729	2687	974	638	1755	1714
Cubes71	2576	-2548	-820	384	1756	1729
Cubes71	2227	-2220	-470	83	1757	1751
Cubes71	2059	-2057	-294	2	1765	1764
Cubes71	-6443	5488	4675	840	1768	814
Cubes71	-3002	2931	1233	820	1769	1699
Cubes71	-2514	2492	745	369	1769	1748
Cubes71	2119	-2116	-343	656	1776	1774
Cubes71	-3644	3473	1866	729	1778	1608
Cubes71	-2080	2078	296	888	1784	1783
Cubes71	5766	-5052	-3974	64	1792	1079
Cubes71	4628	-4243	-2833	708	1795	1411
Cubes71	-2774	2733	977	846	1797	1757
Cubes71	2217	-2212	-419	126	1798	1794
Cubes71	-4354	4040	2551	287	1803	1490
Cubes71	2253	-2247	-450	54	1803	1798
Cubes71	6661	-5657	-4856	372	1805	802
Cubes71	-2284	2277	478	981	1806	1800
Cubes71	4440	-4107	-2633	820	1807	1475
Cubes71	-5819	5100	4008	253	1811	1093
Cubes71	-6766	5731	4953	972	1813	779
Cubes71	-3786	3603	1957	64	1829	1647
Cubes71	-7327	6104	5495	456	1832	610
Cubes71	5276	-4736	-3438	648	1838	1299
Cubes71	-2572	2552	733	197	1839	1820
Cubes71	2495	-2480	-653	298	1842	1828
Cubes71	2735	-2703	-892	160	1843	1812
Cubes71	4188	-3927	-2345	64	1843	1583
Cubes71	-5813	5116	3969	308	1844	1148
Cubes71	-5961	5220	4113	216	1848	1108
Cubes71	4161	-3908	-2312	641	1849	1597
Cubes71	4395	-4091	-2542	216	1853	1550
Cubes71	-2528	2512	673	993	1855	1840
Cubes71	-2593	2573	737	213	1856	1837
Cubes71	2418	-2408	-559	441	1859	1850
Cubes71	4788	-4391	-2928	649	1860	1464
Cubes71	2552	-2535	-691	862	1861	1845
Cubes71	-3445	3330	1582	243	1863	1749
Cubes71	-2107	2106	237	26	1870	1870
Cubes71	3581	-3446	-1710	405	1871	1737
Cubes71	3136	-3066	-1264	216	1872	1803
Cubes71	-2336	2330	461	125	1875	1870
Cubes71	3201	-3124	-1322	729	1879	1803
Cubes71	2197	-2195	-307	55	1890	1889
Cubes71	4047	-3834	-2149	170	1898	1686
Cubes71	-2745	2719	835	209	1910	1885
Cubes71	3837	-3669	-1922	496	1915	1748
Cubes71	-3626	3495	1708	911	1918	1788
Cubes71	3835	-3669	-1914	622	1921	1756
Cubes71	7059	-6001	-5138	306	1921	864
Cubes71	3980	-3788	-2056	512	1924	1733
Cubes71	2665	-2646	-738	217	1927	1909
Cubes71	2397	-2391	-469	593	1928	1923
Cubes71	-7551	6325	5620	974	1931	706
Cubes71	-2174	2173	242	181	1932	1932
Cubes71	3740	-3594	-1806	800	1934	1789
Cubes71	-4918	4521	2983	216	1935	1539
Cubes71	3462	-3360	-1527	945	1935	1834
Cubes71	-2660	2642	724	712	1936	1919
Cubes71	5841	-5192	-3900	433	1941	1293
Cubes71	-3083	3030	1141	434	1942	1890
Cubes71	4265	-4022	-2322	729	1943	1701
Cubes71	-3167	3105	1223	729	1944	1883
Cubes71	2420	-2414	-472	8	1948	1943
Cubes71	2916	-2880	-968	64	1948	1913
Cubes71	3141	-3083	-1190	434	1951	1894
Cubes71	3222	-3155	-1269	64	1953	1887
Cubes71	-2682	2664	728	728	1954	1937
Cubes71	5889	-5233	-3935	657	1954	1299
Cubes71	-3976	3794	2020	8	1956	1775
Cubes71	-8059	6666	6102	125	1957	565
Cubes71	-2201	2200	244	183	1957	1957
Cubes71	9313	-7433	-7350	560	1963	84
Cubes71	2664	-2648	-697	279	1967	1952
Cubes71	9090	-7308	-7119	729	1971	190
Cubes71	-6557	5706	4581	64	1976	1126
Cubes71	-2952	2916	976	64	1976	1941
Cubes71	7019	-6015	-5042	396	1977	974
Cubes71	8918	-7226	-6924	432	1994	303
Cubes71	-8760	7131	6765	216	1995	367
Cubes71	4611	-4312	-2614	259	1997	1699
Cubes71	-6321	5563	4316	882	2005	1248
Cubes71	-2327	2325	319	101	2008	2007
Cubes71	9222	-7423	-7213	484	2009	211
Cubes71	-8786	7163	6773	8	2013	391
Cubes71	2689	-2675	-671	183	2018	2005
Cubes71	2269	-2268	-249	28	2020	2020
Cubes71	2695	-2681	-672	686	2023	2010
Cubes71	4955	-4586	-2932	251	2023	1655
Cubes71	2701	-2687	-673	181	2028	2015
Cubes71	5424	-4938	-3396	216	2028	1543
Cubes71	2759	-2742	-728	639	2031	2015
Cubes71	9283	-7485	-7247	839	2036	239
Cubes71	3564	-3468	-1527	729	2037	1942
Cubes71	-7405	6324	5350	99	2055	975
Cubes71	-2911	2888	834	745	2077	2055
Cubes71	2404	-2402	-326	480	2078	2077
Cubes71	-2658	2649	575	512	2083	2075
Cubes71	2833	-2816	-741	20	2092	2076
Cubes71	-2948	2924	853	109	2095	2072
Cubes71	-4597	4336	2500	883	2097	1837
Cubes71	-2621	2614	524	307	2097	2091
Cubes71	-3203	3160	1093	930	2110	2068
Cubes71	-2636	2629	526	309	2110	2104
Cubes71	6085	-5457	-3975	757	2110	1483
Cubes71	3789	-3677	-1673	119	2116	2005
Cubes71	2500	-2497	-383	640	2117	2115
Cubes71	5207	-4816	-3089	278	2118	1728
Cubes71	5849	-5292	-3730	961	2119	1563
Cubes71	-3781	3672	1656	323	2125	2017
Cubes71	-4129	3966	2001	8	2128	1966
Cubes71	2894	-2876	-766	512	2128	2111
Cubes71	-4025	3881	1890	216	2135	1992
Cubes71	3082	-3052	-946	224	2136	2107
Cubes71	-6181	5544	4036	99	2145	1509
Cubes71	-2981	2959	835	813	2146	2125
Cubes71	-2407	2406	259	252	2148	2148
Cubes71	-7821	6666	5669	944	2152	998
Cubes71	-4309	4121	2156	348	2153	1966
Cubes71	-2585	2581	431	307	2154	2151
Cubes71	7506	-6460	-5352	8	2154	1109
Cubes71	-2791	2780	635	204	2156	2146
Cubes71	2625	-2620	-469	916	2156	2152
Cubes71	2493	-2491	-334	682	2159	2158
Cubes71	4469	-4253	-2310	432	2159	1944
Cubes71	5371	-4957	-3212	190	2159	1746
Cubes71	7984	-6778	-5824	728	2160	955
Cubes71	-3343	3293	1182	718	2161	2112
Cubes71	2421	-2420	-260	461	2161	2161
Cubes71	2594	-2590	-432	16	2162	2159
Cubes71	6618	-5862	-4455	729	2163	1408
Cubes71	-2603	2599	433	309	2170	2167
Cubes71	-8368	7036	6194	8	2174	843
Cubes71	2435	-2434	-261	790	2174	2174
Cubes71	7117	-6212	-4943	678	2174	1270
Cubes71	-6593	5852	4417	64	2176	1436
Cubes71	9185	-7558	-7001	512	2184	558
Cubes71	2449	-2448	-262	729	2187	2187
Cubes71	-6077	5492	3888	27	2189	1605
Cubes71	3220	-3185	-1025	750	2195	2161
Cubes71	2463	-2462	-263	272	2200	2200
Cubes71	4063	-3928	-1863	648	2200	2066
Cubes71	3200	-3168	-991	97	2209	2178
Cubes71	-10476	8365	8264	693	2212	102
Cubes71	-2477	2476	264	587	2213	2213
Cubes71	-5604	5156	3389	421	2215	1768
Cubes71	-3002	2984	785	521	2217	2200
Cubes71	-8339	7051	6121	993	2218	931
Cubes71	-5892	5373	3670	829	2222	1704
Cubes71	3252	-3218	-1022	128	2230	2197
Cubes71	-5955	5424	3723	216	2232	1702
Cubes71	2840	-2831	-601	8	2239	2231
Cubes71	-3730	3649	1490	449	2240	2160
Cubes71	3851	-3755	-1609	647	2242	2147
Cubes71	8613	-7250	-6365	272	2248	886
Cubes71	-3631	3563	1382	924	2249	2182
Cubes71	-9106	7565	6855	484	2251	711
Cubes71	-3300	3265	1042	713	2258	2224
Cubes71	5305	-4950	-3037	972	2268	1914
Cubes71	-6662	5954	4390	136	2272	1565
Cubes71	-2721	2717	446	988	2275	2272
Cubes71	-5816	5342	3538	64	2278	1805
Cubes71	-7263	6377	4984	90	2279	1394
Cubes71	-8002	6877	5720	125	2282	1158
Cubes71	-6660	5958	4378	64	2282	1581
Cubes71	2562	-2561	-270	847	2292	2292
Cubes71	4271	-4126	-1972	87	2299	2155
Cubes71	3877	-3788	-1577	228	2300	2212
Cubes71	3074	-3058	-767	449	2307	2292
Cubes71	-9728	8003	7417	388	2311	587
Cubes71	3086	-3070	-769	447	2317	2302
Cubes71	3972	-3874	-1654	160	2318	2221
Cubes71	6194	-5640	-3876	8	2318	1765
Cubes71	10424	-8441	-8099	604	2325	343
Cubes71	6977	-6206	-4651	566	2326	1556
Cubes71	-8233	7061	5906	60	2327	1156
Cubes71	-5334	4995	3005	296	2329	1991
Cubes71	-5694	5279	3347	178	2347	1933
Cubes71	-3088	3074	736	8	2352	2339
Cubes71	6628	-5973	-4274	11	2354	1700
Cubes71	6328	-5761	-3962	343	2366	1800
Cubes71	3890	-3812	-1514	928	2376	2299
Cubes71	4510	-4345	-2133	738	2377	2213
Cubes71	5574	-5204	-3183	73	2391	2022
Cubes71	-6449	5862	4057	272	2392	1806
Cubes71	-3707	3651	1315	83	2392	2337
Cubes71	3468	-3434	-1067	965	2401	2368
Cubes71	3004	-2996	-600	128	2404	2397
Cubes71	9420	-7889	-7013	434	2407	877
Cubes71	4868	-4650	-2456	216	2412	2195
Cubes71	8190	-7093	-5774	819	2416	1320
Cubes71	10284	-8437	-7868	819	2416	570
Cubes71	-3349	3325	929	665	2420	2397
Cubes71	4009	-3924	-1589	236	2420	2336
Cubes71	-5086	4833	2653	558	2433	2181
Cubes71	-10343	8489	7909	991	2434	581
Cubes71	3645	-3600	-1210	125	2435	2391
Cubes71	10639	-8675	-8200	244	2439	476
Cubes71	6618	-6010	-4175	657	2443	1836
Cubes71	-3028	3021	577	342	2451	2445
Cubes71	-11298	9090	8841	729	2457	250
Cubes71	-5556	5214	3099	27	2457	2116
Cubes71	-3350	3329	889	658	2461	2441
Cubes71	6639	-6034	-4178	63	2461	1857
Cubes71	3809	-3752	-1347	198	2462	2406
Cubes71	-7948	6960	5484	512	2464	1477
Cubes71	-9731	8134	7264	957	2467	871
Cubes71	-3690	3645	1220	125	2470	2426
Cubes71	-4662	4495	2190	847	2472	2306
Cubes71	8717	-7486	-6239	638	2478	1248
Cubes71	-3322	3304	840	216	2482	2465
Cubes71	-11501	9238	9016	867	2485	223
Cubes71	-6500	5943	4015	182	2485	1929
Cubes71	7399	-6601	-4897	125	2502	1705
Cubes71	4980	-4767	-2476	161	2504	2292
Cubes71	2793	-2792	-286	513	2507	2507
Cubes71	-6509	5961	3999	451	2510	1963
Cubes71	-7344	6567	4833	216	2511	1735
Cubes71	-6288	5798	3773	637	2515	2026
Cubes71	-2883	2881	368	486	2515	2514
Cubes71	-2953	2950	428	575	2525	2523
Cubes71	3584	-3553	-1058	215	2526	2496
Cubes71	-4991	4783	2461	597	2530	2323
Cubes71	-4845	4662	2315	278	2530	2348
Cubes71	-8049	7071	5517	675	2532	1555
Cubes71	3501	-3477	-957	675	2544	2521
Cubes71	-2837	2836	289	372	2548	2548
Cubes71	-6494	5968	3943	255	2551	2026
Cubes71	10052	-8406	-7499	693	2553	908
Cubes71	-3766	3724	1209	657	2557	2516
Cubes71	-3936	3879	1377	216	2559	2503
Cubes71	-10243	8534	7681	638	2562	854
Cubes71	-4694	4543	2130	623	2564	2414
Cubes71	-3271	3260	706	305	2565	2555
Cubes71	3996	-3934	-1430	432	2566	2505
Cubes71	4096	-4024	-1527	729	2569	2498
Cubes71	10628	-8781	-8059	232	2569	723
Cubes71	-3349	3335	777	259	2572	2559
Cubes71	7777	-6911	-5196	866	2581	1716
Cubes71	4246	-4160	-1658	624	2588	2503
Cubes71	11350	-9244	-8760	216	2590	485
Cubes71	4317	-4223	-1726	270	2591	2498
Cubes71	-7651	6829	5058	450	2593	1772
Cubes71	-9669	8193	7074	972	2595	1120
Cubes71	3459	-3441	-863	811	2596	2579
Cubes71	-7683	6856	5082	397	2601	1775
Cubes71	5135	-4921	-2532	646	2603	2390
Cubes71	3471	-3453	-865	809	2606	2589
Cubes71	-6473	5977	3864	560	2609	2114
Cubes71	-5789	5451	3176	558	2613	2276
Cubes71	-4522	4406	1907	411	2615	2500
Cubes71	-3144	3139	529	524	2615	2611
Cubes71	2911	-2910	-294	847	2617	2617
Cubes71	-4168	4096	1545	729	2623	2552
Cubes71	3114	-3110	-488	272	2626	2623
Cubes71	6504	-6010	-3872	216	2632	2139
Cubes71	-3078	3075	440	323	2638	2636
Cubes71	4060	-4001	-1422	551	2638	2580
Cubes71	3622	-3598	-979	917	2643	2620
Cubes71	4473	-4369	-1827	125	2646	2543
Cubes71	4966	-4793	-2312	111	2654	2482
Cubes71	-3099	3096	442	325	2657	2655
Cubes71	10475	-8757	-7818	350	2657	940
Cubes71	-11680	9508	9020	512	2660	489
Cubes71	-4073	4016	1409	8	2664	2608
Cubes71	3721	-3693	-1049	155	2672	2645
Cubes71	-3061	3059	383	285	2678	2677
Cubes71	-4201	4134	1517	916	2684	2618
Cubes71	5806	-5488	-3122	496	2684	2367
Cubes71	-7951	7092	5265	962	2686	1828
Cubes71	8649	-7578	-5961	216	2688	1618
Cubes71	-4556	4449	1867	596	2689	2583
Cubes71	3073	-3071	-384	2	2689	2688
Cubes71	-6988	6398	4297	593	2691	2102
Cubes71	5422	-5181	-2729	218	2693	2453
Cubes71	4857	-4710	-2161	512	2696	2550
Cubes71	-3372	3363	674	323	2698	2690
Cubes71	-3085	3083	385	287	2700	2699
Cubes71	-9442	8121	6740	673	2702	1382
Cubes71	7232	-6584	-4528	512	2704	2057
Cubes71	-6136	5756	3429	349	2707	2328
Cubes71	4812	-4674	-2104	440	2708	2571
Cubes71	-8890	7756	6180	216	2710	1577
Cubes71	-3387	3378	676	325	2711	2703
Cubes71	3745	-3719	-1028	714	2717	2692
Cubes71	5011	-4846	-2291	424	2720	2556
Cubes71	-7851	7049	5113	495	2738	1937
Cubes71	3991	-3950	-1247	48	2744	2704
Cubes71	5632	-5368	-2883	549	2749	2486
Cubes71	6363	-5949	-3611	667	2752	2339
Cubes71	4630	-4526	-1870	424	2760	2657
Cubes71	4180	-4125	-1417	162	2763	2709
Cubes71	10869	-9092	-8105	596	2764	988
Cubes71	-10835	9072	8069	882	2766	1004
Cubes71	-3226	3223	454	55	2772	2770
Cubes71	-13124	10490	10342	64	2782	149
Cubes71	3091	-3090	-306	955	2785	2785
Cubes71	9268	-8060	-6483	245	2785	1578
Cubes71	9539	-8242	-6754	267	2785	1489
Cubes71	-3342	3337	551	216	2791	2787
Cubes71	7025	-6470	-4233	288	2792	2238
Cubes71	5449	-5231	-2652	650	2797	2580
Cubes71	-3258	3255	457	856	2801	2799
Cubes71	-11218	9344	8415	727	2803	930
Cubes71	4704	-4599	-1896	729	2808	2704
Cubes71	-4607	4514	1797	774	2810	2718
Cubes71	12010	-9843	-9200	893	2810	644
Cubes71	8433	-7502	-5620	729	2813	1883
Cubes71	3897	-3870	-1069	764	2828	2802
Cubes71	3523	-3514	-694	539	2829	2821
Cubes71	4111	-4070	-1272	983	2839	2799
Cubes71	-12041	9902	9185	512	2856	718
Cubes71	-3167	3166	311	64	2856	2856
Cubes71	3415	-3410	-559	496	2856	2852
Cubes71	-4088	4051	1225	804	2863	2827
Cubes71	3267	-3265	-400	538	2867	2866
Cubes71	-5599	5375	2725	701	2874	2651
Cubes71	-3606	3596	730	720	2876	2867
Cubes71	-8381	7501	5503	687	2878	1999
Cubes71	-3838	3818	958	872	2880	2861
Cubes71	-9894	8555	6996	827	2898	1560
Cubes71	-3862	3842	962	888	2900	2881
Cubes71	-10750	9123	7846	603	2904	1278
Cubes71	3630	-3621	-708	27	2922	2914
Cubes71	4374	-4320	-1452	216	2922	2869
Cubes71	5375	-5199	-2453	99	2922	2747
Cubes71	-5964	5691	3030	27	2934	2662
Cubes71	-6528	6147	3581	512	2947	2567
Cubes71	-4107	4076	1159	612	2948	2918
Cubes71	6580	-6190	-3627	117	2953	2564
Cubes71	-4428	4374	1464	216	2964	2911
Cubes71	5268	-5117	-2303	92	2965	2815
Cubes71	3290	-3289	-319	672	2971	2971
Cubes71	3544	-3539	-573	848	2971	2967
Cubes71	-7940	7232	4964	512	2976	2269
Cubes71	-6658	6262	3674	440	2984	2589
Cubes71	-6809	6387	3806	90	3003	2582
Cubes71	3755	-3745	-750	250	3005	2996
Cubes71	13826	-11127	-10816	97	3010	312
Cubes71	-7394	6841	4381	678	3013	2461
Cubes71	-10119	8784	7103	872	3016	1682
Cubes71	-10524	9056	7506	8	3018	1551
Cubes71	7149	-6656	-4131	442	3018	2526
Cubes71	-3352	3351	323	610	3029	3029
Cubes71	-5610	5423	2575	342	3035	2849
Cubes71	5745	-5537	-2708	560	3037	2830
Cubes71	11365	-9621	-8327	281	3038	1295
Cubes71	8136	-7407	-5094	729	3042	2314
Cubes71	8378	-7586	-5331	405	3047	2256
Cubes71	8857	-7930	-5810	793	3047	2121
Cubes71	3744	-3736	-695	153	3049	3042
Cubes71	-13700	11095	10643	82	3057	453
Cubes71	5560	-5387	-2496	461	3064	2892
Cubes71	-4718	4650	1648	560	3070	3003
Cubes71	-4858	4777	1780	721	3078	2998
Cubes71	-5581	5410	2493	216	3088	2918
Cubes71	-5131	5022	2035	432	3096	2988
Cubes71	-14258	11468	11161	1	3097	308
Cubes71	4117	-4097	-1004	876	3113	3094
Cubes71	6444	-6147	-3281	820	3163	2867
Cubes71	-4223	4201	1054	498	3169	3148
Cubes71	-5608	5450	2438	960	3170	3013
Cubes71	-6124	5887	2949	828	3175	2939
Cubes71	13112	-10838	-9937	503	3175	902
Cubes71	4589	-4544	-1412	757	3177	3133
Cubes71	-4247	4225	1058	514	3189	3168
Cubes71	5520	-5378	-2330	848	3190	3049
Cubes71	-4052	4039	861	92	3191	3179
Cubes71	-8409	7683	5206	874	3203	2478
Cubes71	4623	-4578	-1419	756	3204	3160
Cubes71	8122	-7470	-4918	216	3204	2553
Cubes71	7453	-6962	-4246	613	3207	2717
Cubes71	-14295	11610	11069	134	3226	542
Cubes71	6225	-5984	-2998	729	3227	2987
Cubes71	6763	-6425	-3533	885	3230	2893
Cubes71	11259	-9690	-8028	27	3231	1663
Cubes71	-11360	9759	8126	855	3234	1634
Cubes71	-3882	3876	647	431	3235	3230
Cubes71	-5296	5190	2060	664	3236	3131
Cubes71	3891	-3885	-648	54	3243	3238
Cubes71	-3900	3894	649	433	3251	3246
Cubes71	-6089	5878	2830	183	3259	3049
Cubes71	-12552	10554	9291	27	3261	1264
Cubes71	-6766	6437	3504	421	3262	2934
Cubes71	5864	-5688	-2602	664	3262	3087
Cubes71	-4533	4500	1264	307	3269	3237
Cubes71	3997	-3989	-726	128	3271	3264
Cubes71	-4221	4205	948	656	3273	3258
Cubes71	-7408	6952	4132	64	3276	2821
Cubes71	6997	-6627	-3721	729	3276	2907
Cubes71	-5272	5175	1995	602	3277	3181
Cubes71	-6326	6081	3047	288	3279	3035
Cubes71	4968	-4903	-1681	664	3287	3223
Cubes71	6736	-6420	-3449	407	3287	2972
Cubes71	-8818	8026	5525	269	3293	2502
Cubes71	-4123	4112	824	285	3299	3289
Cubes71	-13540	11213	10236	853	3304	978
Cubes71	-8661	7916	5356	531	3305	2561
Cubes71	-14099	11564	10790	845	3309	775
Cubes71	-4483	4456	1174	253	3309	3283
Cubes71	-4138	4127	826	287	3312	3302
Cubes71	4019	-4012	-697	258	3322	3316
Cubes71	4878	-4827	-1533	432	3345	3295
Cubes71	-9792	8756	6444	512	3348	2313
Cubes71	5684	-5553	-2315	252	3369	3239
Cubes71	-6729	6440	3350	511	3379	3091
Cubes71	4045	-4039	-665	181	3380	3375
Cubes71	8210	-7612	-4825	447	3385	2788
Cubes71	-9993	8931	6585	459	3408	2347
Cubes71	5103	-5040	-1694	343	3409	3347
Cubes71	-5248	5172	1836	512	3412	3337
Cubes71	13282	-11140	-9867	405	3415	1274
Cubes71	-8724	8013	5307	216	3417	2707
Cubes71	-9990	8937	6567	216	3423	2371
Cubes71	4652	-4624	-1218	952	3434	3407
Cubes71	12940	-10937	-9504	983	3436	1434
Cubes71	4289	-4278	-846	881	3443	3433
Cubes71	-5166	5103	1708	343	3458	3396
Cubes71	4608	-4584	-1150	8	3458	3435
Cubes71	-16268	13020	12802	776	3466	219
Cubes71	-11208	9810	7741	109	3467	2070
Cubes71	-5599	5494	2132	953	3467	3363
Cubes71	5807	-5679	-2331	413	3476	3349
Cubes71	5958	-5811	-2481	540	3477	3331
Cubes71	9291	-8460	-5814	27	3477	2647
Cubes71	-4632	4608	1154	8	3478	3455
Cubes71	-15817	12773	12327	187	3490	447
Cubes71	-5303	5232	1808	153	3495	3425
Cubes71	10422	-9284	-6923	677	3499	2362
Cubes71	12889	-10959	-9379	351	3510	1581
Cubes71	4454	-4440	-940	664	3514	3501
Cubes71	-4632	4611	1104	27	3528	3508
Cubes71	4118	-4114	-588	16	3530	3527
Cubes71	11852	-10303	-8297	8	3555	2007
Cubes71	-5065	5022	1486	279	3579	3537
Cubes71	11532	-10104	-7948	512	3584	2157
Cubes71	-8101	7605	4511	655	3590	3095
Cubes71	-14124	11819	10527	818	3597	1293
Cubes71	4506	-4494	-900	432	3606	3595
Cubes71	-3977	3976	362	271	3615	3615
Cubes71	7302	-6975	-3684	729	3618	3292
Cubes71	10865	-9662	-7247	874	3618	2416
Cubes71	4408	-4400	-775	937	3633	3626
Cubes71	-4010	4009	364	273	3646	3646
Cubes71	-7423	7083	3772	468	3651	3312
Cubes71	-7572	7206	3914	512	3658	3293
Cubes71	-4423	4416	743	736	3680	3674
Cubes71	8376	-7854	-4690	512	3686	3165
Cubes71	13264	-11337	-9570	991	3694	1768
Cubes71	10587	-9507	-6892	872	3695	2616
Cubes71	-17014	13686	13317	125	3697	370
Cubes71	-4683	4669	972	370	3711	3698
Cubes71	5470	-5409	-1756	855	3714	3654
Cubes71	-4983	4956	1260	729	3723	3697
Cubes71	11241	-9994	-7502	729	3739	2493
Cubes71	-4214	4212	474	208	3740	3739
Cubes71	4993	-4967	-1246	658	3747	3722
Cubes71	-6120	5999	2371	810	3749	3629
Cubes71	7190	-6921	-3425	414	3765	3497
Cubes71	5017	-4991	-1250	642	3767	3742
Cubes71	4481	-4475	-712	638	3769	3764
Cubes71	-11447	10157	7675	145	3772	2483
Cubes71	6697	-6507	-2918	398	3779	3590
Cubes71	4394	-4390	-614	440	3780	3777
Cubes71	-5977	5879	2178	358	3799	3702
Cubes71	7104	-6858	-3301	251	3803	3558
Cubes71	17562	-14122	-13751	729	3811	372
Cubes71	6443	-6299	-2598	216	3845	3702
Cubes71	5523	-5472	-1666	323	3857	3807
Cubes71	-5549	5497	1682	892	3867	3816
Cubes71	9193	-8556	-5320	441	3873	3237
Cubes71	11998	-10601	-8122	343	3876	2480
Cubes71	5751	-5684	-1873	630	3878	3812
Cubes71	14813	-12481	-10931	665	3882	1551
Cubes71	6081	-5984	-2196	1	3885	3789
Cubes71	17025	-13866	-13140	729	3885	727
Cubes71	6350	-6224	-2463	729	3887	3762
Cubes71	-4657	4650	769	216	3888	3882
Cubes71	4375	-4373	-486	2	3889	3888
Cubes71	-9171	8546	5280	125	3891	3267
Cubes71	4840	-4828	-944	64	3896	3885
Cubes71	5832	-5760	-1936	512	3896	3825
Cubes71	-4874	4861	974	181	3900	3888
Cubes71	6444	-6310	-2538	512	3906	3773
Cubes71	-7952	7588	4040	64	3912	3549
Cubes71	-4889	4876	976	183	3913	3901
Cubes71	-5291	5260	1373	946	3918	3888
Cubes71	16234	-13411	-12312	45	3922	1100
Cubes71	7818	-7482	-3893	307	3925	3590
Cubes71	-8311	7883	4383	43	3928	3501
Cubes71	-9791	9036	5856	1	3935	3181
Cubes71	7621	-7322	-3686	957	3935	3637
Cubes71	4671	-4665	-732	918	3939	3934
Cubes71	-4328	4327	383	118	3945	3945
Cubes71	9756	-9015	-5808	729	3948	3208
Cubes71	-13114	11412	9162	512	3952	2251
Cubes71	-5904	5832	1952	512	3952	3881
Cubes71	-5710	5654	1757	357	3953	3898
Cubes71	-12527	11013	8573	531	3954	2441
Cubes71	4345	-4344	-384	937	3961	3961
Cubes71	4396	-4395	-387	658	4009	4009
Cubes71	-4654	4650	638	808	4016	4013
Cubes71	-12510	11039	8493	476	4017	2547
Cubes71	-4413	4412	388	603	4025	4025
Cubes71	-17572	14326	13546	64	4026	781
Cubes71	-16892	13919	12853	748	4039	1067
Cubes71	4538	-4536	-498	224	4040	4039
Cubes71	-4909	4900	866	467	4043	4035
Cubes71	-14900	12664	10849	993	4051	1816
Cubes71	7143	-6945	-3089	613	4054	3857
Cubes71	-6295	6199	2240	224	4055	3960
Cubes71	-4926	4917	868	469	4058	4050
Cubes71	-9495	8861	5432	574	4063	3430
Cubes71	-13335	11634	9270	729	4065	2365
Cubes71	5093	-5080	-1003	330	4090	4078
Cubes71	-9260	8690	5165	125	4095	3526
Cubes71	-9561	8927	5458	414	4103	3470
Cubes71	8443	-8042	-4340	219	4103	3703
Cubes71	-6429	6326	2325	512	4104	4002
Cubes71	-14810	12648	10700	792	4110	1949
Cubes71	4634	-4632	-505	511	4129	4128
Cubes71	4533	-4532	-395	794	4138	4138
Cubes71	8190	-7853	-4022	875	4168	3832
Cubes71	-19686	15735	15513	216	4173	223
Cubes71	5666	-5632	-1482	160	4184	4151
Cubes71	-5896	5848	1706	872	4190	4143
Cubes71	6295	-6216	-2101	378	4194	4116
Cubes71	4602	-4601	-399	208	4203	4203
Cubes71	10048	-9340	-5845	467	4203	3496
Cubes71	5257	-5243	-1050	686	4207	4194
Cubes71	8285	-7944	-4069	232	4216	3876
Cubes71	4815	-4812	-593	190	4222	4220
Cubes71	12205	-10940	-7983	38	4222	2958
Cubes71	7578	-7354	-3346	952	4232	4009
Cubes71	-13957	12168	9716	835	4241	2453
Cubes71	7602	-7377	-3358	863	4244	4020
Cubes71	-10111	9407	5860	512	4251	3548
Cubes71	4654	-4653	-402	379	4252	4252
Cubes71	-8258	7932	4002	64	4256	3931
Cubes71	8199	-7885	-3935	99	4264	3951
Cubes71	-10406	9639	6138	775	4268	3502
Cubes71	-4876	4873	598	433	4278	4276
Cubes71	6437	-6355	-2159	899	4278	4197
Cubes71	-17874	14736	13591	703	4283	1146
Cubes71	-8335	8004	4047	512	4288	3958
Cubes71	-12362	11088	8072	792	4290	3017
Cubes71	11848	-10725	-7545	442	4303	3181
Cubes71	5619	-5595	-1313	487	4306	4283
Cubes71	15012	-12920	-10704	64	4308	2217
Cubes71	5490	-5472	-1175	577	4315	4298
Cubes71	-5179	5171	863	519	4316	4309
Cubes71	12124	-10931	-7808	21	4316	3124
Cubes71	15214	-13060	-10897	71	4317	2164
Cubes71	4925	-4922	-602	469	4323	4321
Cubes71	-19666	15867	15342	755	4324	526
Cubes71	5188	-5180	-864	128	4324	4317
Cubes71	5504	-5486	-1177	575	4327	4310
Cubes71	-5197	5189	865	521	4332	4325
Cubes71	16095	-13648	-11762	855	4333	1887
Cubes71	-16736	14072	12388	64	4348	1685
Cubes71	-7911	7663	3560	216	4351	4104
Cubes71	-13186	11704	8834	512	4352	2871
Cubes71	6955	-6832	-2598	315	4357	4235
Cubes71	10870	-10029	-6508	99	4362	3522
Cubes71	-5346	5335	980	639	4366	4356
Cubes71	-9910	9297	5536	729	4374	3762
Cubes71	-12154	10984	7776	216	4378	3209
Cubes71	6561	-6480	-2178	729	4383	4303
Cubes71	-13675	12064	9289	838	4386	2776
Cubes71	-15250	13139	10853	96	4397	2287
Cubes71	-5137	5132	734	519	4403	4399
Cubes71	-4940	4938	527	855	4413	4412
Cubes71	6400	-6336	-1982	776	4418	4355
Cubes71	16336	-13868	-11917	811	4419	1952
Cubes71	-8045	7792	3624	587	4421	4169
