Contributor	X	Y	Z	n	s	sl
Cubes71	19	-15	-14	740	5	2
Cubes71	20	-16	-15	529	5	2
Cubes71	21	-17	-16	252	5	2
Cubes71	-22	18	17	97	5	2
Cubes71	-23	19	18	524	5	2
Cubes71	5	-2	0	117	5	3
Cubes71	6	-3	-1	188	5	3
Cubes71	7	-4	-2	271	5	3
Cubes71	8	-5	-3	360	5	3
Cubes71	9	-6	-4	449	5	3
Cubes71	10	-7	-5	532	5	3
Cubes71	11	-8	-6	603	5	3
Cubes71	12	-9	-7	656	5	3
Cubes71	13	-10	-8	685	5	3
Cubes71	14	-11	-9	684	5	3
Cubes71	15	-12	-10	647	5	3
Cubes71	16	-13	-11	568	5	3
Cubes71	17	-14	-12	441	5	3
Cubes71	18	-15	-13	260	5	3
Cubes71	19	-16	-14	19	5	3
Cubes71	-20	17	15	288	5	3
Cubes71	-21	18	16	667	5	3
Cubes71	5	-3	0	98	5	4
Cubes71	6	-4	-1	151	5	4
Cubes71	7	-5	-2	210	5	4
Cubes71	8	-6	-3	269	5	4
Cubes71	9	-7	-4	322	5	4
Cubes71	10	-8	-5	363	5	4
Cubes71	11	-9	-6	386	5	4
Cubes71	12	-10	-7	385	5	4
Cubes71	13	-11	-8	354	5	4
Cubes71	14	-12	-9	287	5	4
Cubes71	15	-13	-10	178	5	4
Cubes71	16	-14	-11	21	5	4
Cubes71	-17	15	12	190	5	4
Cubes71	-18	16	13	461	5	4
Cubes71	-19	17	14	798	5	4
Cubes71	5	-4	0	61	5	5
Cubes71	6	-5	-1	90	5	5
Cubes71	7	-6	-2	119	5	5
Cubes71	8	-7	-3	142	5	5
Cubes71	9	-8	-4	153	5	5
Cubes71	10	-9	-5	146	5	5
Cubes71	11	-10	-6	115	5	5
Cubes71	12	-11	-7	54	5	5
Cubes71	-13	12	8	43	5	5
Cubes71	-14	13	9	182	5	5
Cubes71	-15	14	10	369	5	5
Cubes71	-16	15	11	610	5	5
Cubes71	-17	16	12	911	5	5
Cubes71	6	0	0	216	6	1
Cubes71	7	-1	-1	341	6	1
Cubes71	8	-2	-2	496	6	1
Cubes71	9	-3	-3	675	6	1
Cubes71	10	-4	-4	872	6	1
Cubes71	28	-22	-22	656	6	1
Cubes71	29	-23	-23	55	6	1
Cubes71	-30	24	24	648	6	1
Cubes71	6	-1	0	215	6	2
Cubes71	7	-2	-1	334	6	2
Cubes71	8	-3	-2	477	6	2
Cubes71	9	-4	-3	638	6	2
Cubes71	10	-5	-4	811	6	2
Cubes71	11	-6	-5	990	6	2
Cubes71	25	-20	-19	766	6	2
Cubes71	26	-21	-20	315	6	2
Cubes71	-27	22	21	226	6	2
Cubes71	-28	23	22	863	6	2
Cubes71	6	-2	0	208	6	3
Cubes71	7	-3	-1	315	6	3
Cubes71	8	-4	-2	440	6	3
Cubes71	9	-5	-3	577	6	3
Cubes71	10	-6	-4	720	6	3
Cubes71	11	-7	-5	863	6	3
Cubes71	21	-17	-15	973	6	3
Cubes71	22	-18	-16	720	6	3
Cubes71	23	-19	-17	395	6	3
Cubes71	-24	20	18	8	6	3
Cubes71	-25	21	19	495	6	3
Cubes71	6	-3	0	189	6	4
Cubes71	7	-4	-1	278	6	4
Cubes71	8	-5	-2	379	6	4
Cubes71	9	-6	-3	486	6	4
Cubes71	10	-7	-4	593	6	4
Cubes71	11	-8	-5	694	6	4
Cubes71	12	-9	-6	783	6	4
Cubes71	13	-10	-7	854	6	4
Cubes71	14	-11	-8	901	6	4
Cubes71	15	-12	-9	918	6	4
Cubes71	16	-13	-10	899	6	4
Cubes71	17	-14	-11	838	6	4
Cubes71	18	-15	-12	729	6	4
Cubes71	19	-16	-13	566	6	4
Cubes71	20	-17	-14	343	6	4
Cubes71	21	-18	-15	54	6	4
Cubes71	-22	19	16	307	6	4
Cubes71	-23	20	17	746	6	4
Cubes71	6	-4	0	152	6	5
Cubes71	7	-5	-1	217	6	5
Cubes71	8	-6	-2	288	6	5
Cubes71	9	-7	-3	359	6	5
Cubes71	10	-8	-4	424	6	5
Cubes71	11	-9	-5	477	6	5
Cubes71	12	-10	-6	512	6	5
Cubes71	13	-11	-7	523	6	5
Cubes71	14	-12	-8	504	6	5
Cubes71	15	-13	-9	449	6	5
Cubes71	16	-14	-10	352	6	5
Cubes71	17	-15	-11	207	6	5
Cubes71	18	-16	-12	8	6	5
Cubes71	-19	17	13	251	6	5
Cubes71	-20	18	14	576	6	5
Cubes71	-21	19	15	973	6	5
Cubes71	6	-5	0	91	6	6
Cubes71	7	-6	-1	126	6	6
Cubes71	8	-7	-2	161	6	6
Cubes71	9	-8	-3	190	6	6
Cubes71	10	-9	-4	207	6	6
Cubes71	11	-10	-5	206	6	6
Cubes71	12	-11	-6	181	6	6
Cubes71	13	-12	-7	126	6	6
Cubes71	14	-13	-8	35	6	6
Cubes71	-15	14	9	98	6	6
Cubes71	-16	15	10	279	6	6
Cubes71	-17	16	11	514	6	6
Cubes71	-18	17	12	809	6	6
Cubes71	7	0	0	343	7	1
Cubes71	8	-1	-1	510	7	1
Cubes71	9	-2	-2	713	7	1
Cubes71	10	-3	-3	946	7	1
Cubes71	33	-26	-26	785	7	1
Cubes71	-34	27	27	62	7	1
Cubes71	7	-1	0	342	7	2
Cubes71	8	-2	-1	503	7	2
Cubes71	9	-3	-2	694	7	2
Cubes71	10	-4	-3	909	7	2
Cubes71	31	-25	-24	342	7	2
Cubes71	-32	26	25	433	7	2
Cubes71	7	-2	0	335	7	3
Cubes71	8	-3	-1	484	7	3
Cubes71	9	-4	-2	657	7	3
Cubes71	10	-5	-3	848	7	3
Cubes71	28	-23	-21	524	7	3
Cubes71	-29	24	22	83	7	3
Cubes71	-30	25	23	792	7	3
Cubes71	7	-3	0	316	7	4
Cubes71	8	-4	-1	447	7	4
Cubes71	9	-5	-2	596	7	4
Cubes71	10	-6	-3	757	7	4
Cubes71	11	-7	-4	924	7	4
Cubes71	24	-20	-17	911	7	4
Cubes71	25	-21	-18	532	7	4
Cubes71	26	-22	-19	69	7	4
Cubes71	-27	23	20	484	7	4
Cubes71	7	-4	0	279	7	5
Cubes71	8	-5	-1	386	7	5
Cubes71	9	-6	-2	505	7	5
Cubes71	10	-7	-3	630	7	5
Cubes71	11	-8	-4	755	7	5
Cubes71	12	-9	-5	874	7	5
Cubes71	13	-10	-6	981	7	5
Cubes71	20	-17	-13	890	7	5
Cubes71	21	-18	-14	685	7	5
Cubes71	22	-19	-15	414	7	5
Cubes71	23	-20	-16	71	7	5
Cubes71	-24	21	17	350	7	5
Cubes71	-25	22	18	855	7	5
Cubes71	7	-5	0	218	7	6
Cubes71	8	-6	-1	295	7	6
Cubes71	9	-7	-2	378	7	6
Cubes71	10	-8	-3	461	7	6
Cubes71	11	-9	-4	538	7	6
Cubes71	12	-10	-5	603	7	6
Cubes71	13	-11	-6	650	7	6
Cubes71	14	-12	-7	673	7	6
Cubes71	15	-13	-8	666	7	6
Cubes71	16	-14	-9	623	7	6
Cubes71	17	-15	-10	538	7	6
Cubes71	18	-16	-11	405	7	6
Cubes71	19	-17	-12	218	7	6
Cubes71	-20	18	13	29	7	6
Cubes71	-21	19	14	342	7	6
Cubes71	-22	20	15	727	7	6
Cubes71	7	-6	0	127	7	7
Cubes71	8	-7	-1	168	7	7
Cubes71	9	-8	-2	209	7	7
Cubes71	10	-9	-3	244	7	7
Cubes71	11	-10	-4	267	7	7
Cubes71	12	-11	-5	272	7	7
Cubes71	13	-12	-6	253	7	7
Cubes71	14	-13	-7	204	7	7
Cubes71	15	-14	-8	119	7	7
Cubes71	-16	15	9	8	7	7
Cubes71	-17	16	10	183	7	7
Cubes71	-18	17	11	412	7	7
Cubes71	-19	18	12	701	7	7
Cubes71	8	0	0	512	8	1
Cubes71	9	-1	-1	727	8	1
Cubes71	10	-2	-2	984	8	1
Cubes71	38	-30	-30	872	8	1
Cubes71	-39	31	31	263	8	1
Cubes71	8	-1	0	511	8	2
Cubes71	9	-2	-1	720	8	2
Cubes71	10	-3	-2	965	8	2
Cubes71	36	-29	-28	315	8	2
Cubes71	-37	30	29	736	8	2
Cubes71	8	-2	0	504	8	3
Cubes71	9	-3	-1	701	8	3
Cubes71	10	-4	-2	928	8	3
Cubes71	33	-27	-25	629	8	3
Cubes71	-34	28	26	224	8	3
Cubes71	8	-3	0	485	8	4
Cubes71	9	-4	-1	664	8	4
Cubes71	10	-5	-2	867	8	4
Cubes71	30	-25	-22	727	8	4
Cubes71	31	-26	-23	48	8	4
Cubes71	-32	27	24	739	8	4
Cubes71	8	-4	0	448	8	5
Cubes71	9	-5	-1	603	8	5
Cubes71	10	-6	-2	776	8	5
Cubes71	11	-7	-3	961	8	5
Cubes71	27	-23	-19	657	8	5
Cubes71	28	-24	-20	128	8	5
Cubes71	-29	25	21	497	8	5
Cubes71	8	-5	0	387	8	6
Cubes71	9	-6	-1	512	8	6
Cubes71	10	-7	-2	649	8	6
Cubes71	11	-8	-3	792	8	6
Cubes71	12	-9	-4	935	8	6
Cubes71	23	-20	-15	792	8	6
Cubes71	24	-21	-16	467	8	6
Cubes71	25	-22	-17	64	8	6
Cubes71	-26	23	18	423	8	6
Cubes71	8	-6	0	296	8	7
Cubes71	9	-7	-1	385	8	7
Cubes71	10	-8	-2	480	8	7
Cubes71	11	-9	-3	575	8	7
Cubes71	12	-10	-4	664	8	7
Cubes71	13	-11	-5	741	8	7
Cubes71	14	-12	-6	800	8	7
Cubes71	15	-13	-7	835	8	7
Cubes71	16	-14	-8	840	8	7
Cubes71	17	-15	-9	809	8	7
Cubes71	18	-16	-10	736	8	7
Cubes71	19	-17	-11	615	8	7
Cubes71	20	-18	-12	440	8	7
Cubes71	21	-19	-13	205	8	7
Cubes71	-22	20	14	96	8	7
Cubes71	-23	21	15	469	8	7
Cubes71	-24	22	16	920	8	7
Cubes71	8	-7	0	169	8	8
Cubes71	9	-8	-1	216	8	8
Cubes71	10	-9	-2	263	8	8
Cubes71	11	-10	-3	304	8	8
Cubes71	12	-11	-4	333	8	8
Cubes71	13	-12	-5	344	8	8
Cubes71	14	-13	-6	331	8	8
Cubes71	15	-14	-7	288	8	8
Cubes71	16	-15	-8	209	8	8
Cubes71	17	-16	-9	88	8	8
Cubes71	-18	17	10	81	8	8
Cubes71	-19	18	11	304	8	8
Cubes71	-20	19	12	587	8	8
Cubes71	-21	20	13	936	8	8
Cubes71	9	0	0	729	9	1
Cubes71	10	-1	-1	998	9	1
Cubes71	43	-34	-34	899	9	1
